mw,logp,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,heavy_atoms,fraction_csp3,num_rings,num_saturated_rings,num_aliphatic_rings,max_ring_size,num_heteroatoms,num_amide_bonds,num_carboxyl,num_hydroxyl,num_aromatic_oh,num_ether,num_ester,ecfp4_000,ecfp4_001,ecfp4_002,ecfp4_003,ecfp4_004,ecfp4_005,ecfp4_006,ecfp4_007,ecfp4_008,ecfp4_009,ecfp4_010,ecfp4_011,ecfp4_012,ecfp4_013,ecfp4_014,ecfp4_015,ecfp4_016,ecfp4_017,ecfp4_018,ecfp4_019,ecfp4_020,ecfp4_021,ecfp4_022,ecfp4_023,ecfp4_024,ecfp4_025,ecfp4_026,ecfp4_027,ecfp4_028,ecfp4_029,ecfp4_030,ecfp4_031,ecfp4_032,ecfp4_033,ecfp4_034,ecfp4_035,ecfp4_036,ecfp4_037,ecfp4_038,ecfp4_039,ecfp4_040,ecfp4_041,ecfp4_042,ecfp4_043,ecfp4_044,ecfp4_045,ecfp4_046,ecfp4_047,ecfp4_048,ecfp4_049,ecfp4_050,ecfp4_051,ecfp4_052,ecfp4_053,ecfp4_054,ecfp4_055,ecfp4_056,ecfp4_057,ecfp4_058,ecfp4_059,ecfp4_060,ecfp4_061,ecfp4_062,ecfp4_063,ecfp4_064,ecfp4_065,ecfp4_066,ecfp4_067,ecfp4_068,ecfp4_069,ecfp4_070,ecfp4_071,ecfp4_072,ecfp4_073,ecfp4_074,ecfp4_075,ecfp4_076,ecfp4_077,ecfp4_078,ecfp4_079,ecfp4_080,ecfp4_081,ecfp4_082,ecfp4_083,ecfp4_084,ecfp4_085,ecfp4_086,ecfp4_087,ecfp4_088,ecfp4_089,ecfp4_090,ecfp4_091,ecfp4_092,ecfp4_093,ecfp4_094,ecfp4_095,ecfp4_096,ecfp4_097,ecfp4_098,ecfp4_099,ecfp4_100,ecfp4_101,ecfp4_102,ecfp4_103,ecfp4_104,ecfp4_105,ecfp4_106,ecfp4_107,ecfp4_108,ecfp4_109,ecfp4_110,ecfp4_111,ecfp4_112,ecfp4_113,ecfp4_114,ecfp4_115,ecfp4_116,ecfp4_117,ecfp4_118,ecfp4_119,ecfp4_120,ecfp4_121,ecfp4_122,ecfp4_123,ecfp4_124,ecfp4_125,ecfp4_126,ecfp4_127,aliphatic_c_count,aromatic_substitution_count,has_ortho_oh_amide,carboxyl_count,amine_count,hydrophobic_atom_count
3.5559185,0.8535941,-0.70172584,1.4943601,-0.32959038,-0.037873436,0.9133096,0.14420278,0.2303656,0.028723942,0.0,0.0,0.0,-0.21717301,-1.3667461,-0.061148733,-0.0002959557,0.0,0.15208644,1.9459676,0.097583584,0.1203807,0.0,-0.14110088,-0.018375883,0.14261036,0.0,-1.866499,0.0,0.0,-0.15479921,0.012601213,0.41699582,-0.12958257,-0.01728928,0.053859122,0.0,-0.056146514,0.0,0.51191473,0.0,0.0,0.0,0.0,0.0,0.0,0.11698874,0.15707132,0.103542924,0.014065947,0.041664552,-0.05901223,0.07177771,0.0,-0.003413088,0.00019412758,0.0,0.0,0.0146394735,-0.19489646,0.0,0.0,-0.005551765,0.0,0.121942595,0.00434606,-0.028389871,0.0,0.0072730263,-0.0036333513,0.025899753,0.0,0.0,-0.0010166334,0.017360345,-0.013029288,0.0,0.0,0.23936155,-0.06902487,-0.22557613,0.0,0.013568422,0.023782395,0.23451893,0.0,0.0,0.015424145,-0.010215033,-1.0460705,0.4215054,0.09105656,-0.035607792,-0.6804199,-0.056322165,-0.09236761,0.029997157,0.062247895,0.0,0.00185713,0.0,-0.3938067,0.0,0.0022334303,0.0,0.4085206,-4.438761,0.0,0.0,0.0,0.0,0.21914203,0.0,0.11277884,-0.0042880024,-0.9512197,0.0,-0.20986219,0.014159656,1.0649294,0.31715655,0.0,0.0,0.0,0.0,0.0,0.7636529,0.0,0.015190199,0.0,0.0,0.0,0.0,0.0018247773,-0.0040691164,-0.019771267,0.0,0.07016848,0.0,0.0,0.0,-0.014430905,0.11432263,-0.037544776,0.0,0.0,0.0,0.0,0.19591983,0.0,0.0,0.0,-0.14267644,0.42026043
-18.057564,-0.3363186,0.18345341,9.26046,0.025676046,4.326515,-0.047680445,-0.6065366,-2.004526,-0.004419973,0.0,0.0,0.0,0.117458336,0.047778558,0.034343004,-0.008785425,0.0,0.11834938,1.2804034,-0.0091214245,0.27657866,0.0,-0.063812084,-0.013875072,-0.032250743,0.0,-0.05310517,0.0,0.0,-0.1138562,0.010736511,0.28403878,-0.10326747,0.020506281,0.025541842,0.0,0.5125678,0.0,0.5504263,0.0,0.0,0.0,0.0,0.0,0.0,-0.10513453,-0.07150612,0.033310294,-0.0067342855,0.035810657,-0.04646547,0.06340203,0.0,-0.0022180812,0.0002545228,0.0,0.0,-0.0010333777,-0.19172356,0.0,0.0,-0.003524546,0.0,0.04469218,0.0066656345,0.19556125,0.0,0.0038108458,-0.0037478262,0.013957575,0.0,0.0,-0.0010166334,0.007630675,-0.0066508837,0.0,0.0,0.14977299,0.021177115,-0.118199855,0.0,0.010716453,0.015245208,-0.017156512,0.0,0.0,0.015424145,-0.003370367,0.30465445,0.43241742,-0.010109863,-0.025907304,0.06772435,0.19035582,0.051439524,0.024416411,0.06598573,0.0,-0.0011539449,0.0,0.06021291,0.0,0.0031329372,0.0,0.2674034,0.47878763,0.0,0.0,0.0,0.0,0.13251364,0.0,-0.01477812,-0.005343304,3.0414717,0.0,-0.1717405,0.013443167,0.45532912,-0.07703231,0.0,0.0,0.0,0.0,0.0,0.48982978,0.0,0.007566272,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.03131385,0.0,0.0,0.0,-0.045821294,0.035892572,-0.037241876,0.0,0.0,0.0,0.0,-3.2288647,0.0,0.0,0.0,0.092547335,0.059616275
4.4898973,-0.18122208,0.39045715,1.6887339,0.0012579011,0.91257006,-0.047680445,-0.39151496,-1.7004457,-0.0047274893,0.0,0.0,0.0,0.16548052,0.11461016,0.102668166,-0.006748995,0.0,0.20380618,2.451965,-0.0091214245,0.63549775,0.0,-0.070978984,-0.013875072,-0.032250743,0.0,-0.0570542,0.0,0.0,-0.12728295,0.028155029,0.43606263,-0.15803787,0.1459334,0.053859122,0.0,0.3351449,0.0,0.60277873,0.0,0.0,0.0,0.0,0.0,0.0,-0.09945054,-0.112459235,0.02837553,0.02233886,0.036824375,-0.05069258,0.1075211,0.0,-0.0022180812,0.0002545228,0.0,0.0,-0.0010333777,-0.27659333,0.0,0.0,-0.003524546,0.0,0.08655877,0.0066656345,0.20532334,0.0,0.0038108458,-0.0037478262,0.013957575,0.0,0.0,-0.0010166334,0.017360345,-0.0066508837,0.0,0.0,0.23782606,0.021328365,-0.20552507,0.0,0.017216975,0.012628517,-0.017156512,0.0,0.0,0.015424145,-0.003370367,0.46698105,0.4542584,-0.0121257575,-0.023522466,0.15468419,0.09005371,0.06951311,0.03909666,0.06734648,0.0,-0.0011539449,0.0,0.10709734,0.0,0.0031335538,0.0,0.5492153,0.7819746,0.0,0.0,0.0,0.0,0.2200832,0.0,-0.01477812,-0.005343304,3.3011868,0.0,-0.2026704,0.013654185,1.1700372,-0.07703231,0.0,0.0,0.0,0.0,0.0,0.81934106,0.0,0.007566272,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.073252484,0.0,0.0,0.0,-0.016124211,0.035892572,-0.033225518,0.0,0.0,0.0,0.0,-0.54790545,0.0,0.0,0.0,0.118606485,0.34372956
8.15919,2.748429,0.4242577,1.7274945,0.08894338,1.3114847,-0.047680445,-0.25532296,1.2621711,-0.0044762804,0.0,0.0,0.0,0.21640025,0.13211583,0.106793836,-0.006748995,0.0,0.21704544,2.684912,-0.0091214245,0.87320924,0.0,-0.07059163,-0.013263435,-0.020214971,0.0,-0.026829371,0.0,0.0,-0.124151066,0.028155029,0.43606263,-0.16254537,0.16235942,0.053859122,0.0,0.42641106,0.0,0.69662046,0.0,0.0,0.0,0.0,0.0,0.0,-0.038485684,-0.112459235,0.02837553,0.06414883,0.039880287,-0.053197905,0.21764584,0.0,-0.0022180812,8.627892e-05,0.0,0.0,-0.0010333777,-0.28048518,0.0,0.0,-0.003524546,0.0,0.08655877,0.0054442156,0.28503278,0.0,0.0075344816,-0.0037478262,0.014356684,0.0,0.0,-0.0010166334,0.017360345,0.0019872223,0.0,0.0,0.34294474,0.021328365,-0.20502526,0.0,0.017216975,0.012628517,-0.017156512,0.0,0.0,0.0423802,-0.011736332,0.46639317,0.49293712,-0.013004522,-0.023023287,0.1762968,0.21456374,0.114023484,0.049126104,0.07556645,0.0,-0.0011539449,0.0,0.16255592,0.0,0.0031335538,0.0,0.702713,0.887385,0.0,0.0,0.0,0.0,0.27137765,0.0,-0.013580039,-0.007981489,5.8154526,0.0,-0.20911635,0.015089788,1.2519382,-0.07703231,0.0,0.0,0.0,0.0,0.0,0.9208859,0.0,0.020550132,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.07016848,0.0,0.0,0.0,-0.016124211,0.035892572,-0.03304097,0.0,0.0,0.0,0.0,1.8337654,0.0,0.0,0.0,0.19455653,1.7903202
7.1838565,1.7475383,0.42528155,1.7213821,0.071573734,0.9834129,-0.047680445,-0.32009155,1.1085334,-0.020264048,0.0,0.0,0.0,0.18817984,0.13211583,0.106793836,-0.0014190106,0.0,0.21704544,2.679976,-0.0147532625,0.87320924,0.0,-0.07059163,-0.013263435,-0.020067876,0.0,-0.026829371,0.0,0.0,-0.1273878,0.028155029,0.4470261,-0.1708975,0.13348694,0.053859122,0.0,0.38849762,0.0,0.7198144,0.0,0.0,0.0,0.0,0.0,0.0,-0.038272023,-0.112459235,0.02837553,0.06414883,0.033645645,-0.053197905,0.20426914,0.0,-0.0022180812,8.627892e-05,0.0,0.0,-0.007319738,-0.28048518,0.0,0.0,-0.003524546,0.0,0.08309079,0.013001217,0.23710653,0.0,0.0072730263,-0.0037478262,0.022482734,0.0,0.0,-0.0010166334,0.017360345,-0.004398932,0.0,0.0,0.3651806,0.021328365,-0.20798622,0.0,0.016264254,0.012628517,-0.017156512,0.0,0.0,0.0423802,-0.011736332,0.46639317,0.5065156,-0.013888361,-0.022901744,0.1762968,0.21456374,0.086361155,0.049126104,0.07254551,0.0,-0.0011539449,0.0,0.16255592,0.0,0.003095078,0.0,0.70099807,1.2187824,0.0,0.0,0.0,0.0,0.24388158,0.0,-0.013580039,-0.008080111,5.5724454,0.0,-0.21087462,0.012699934,1.2519382,-0.07703231,0.0,0.0,0.0,0.0,0.0,0.9068208,0.0,0.020550132,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.07016848,0.0,0.0,0.0,-0.016124211,0.035892572,-0.03304097,0.0,0.0,0.0,0.0,1.9520372,0.0,0.0,0.0,0.1875014,1.9600463
7.788783,2.2439702,0.4224079,1.7256268,0.18209572,4.1772156,-0.047680445,0.5346695,1.7751876,-0.020996079,0.0,0.0,0.0,0.12544961,0.16331135,0.073712245,-0.013028011,0.0,0.2485155,2.6803946,-0.012130627,0.8604236,0.0,-0.077161446,-0.013263435,-0.020067876,0.0,-0.026829371,0.0,0.0,-0.097963326,0.028155029,0.4470261,-0.18368313,0.13099603,0.053859122,0.0,0.4236881,0.0,0.73887575,0.0,0.0,0.0,0.0,0.0,0.0,-0.028973386,-0.112459235,0.023890987,0.15832275,0.071049355,-0.028963916,0.22614333,0.0,-0.0022180812,8.627892e-05,0.0,0.0,-0.007319738,-0.26827636,0.0,0.0,-0.003524546,0.0,0.086898856,0.013001217,0.24687135,0.0,0.0072730263,-0.0037478262,0.022482734,0.0,0.0,-0.0010166334,0.03435174,-0.004398932,0.0,0.0,0.38216895,0.021328365,-0.21878828,0.0,0.018967642,0.015275491,-0.0075070746,0.0,0.0,0.0426939,-0.0033703675,0.46440074,0.5403882,-0.010773602,-0.009501502,0.1724208,0.15646374,0.112775244,0.049126104,0.07673738,0.0,-0.0043100337,0.0,0.17696287,0.0,0.003095078,0.0,0.7722181,1.3071777,0.0,0.0,0.0,0.0,0.28326106,0.0,-0.017801354,-0.0049448432,5.122763,0.0,-0.21693493,0.01621265,1.3515716,-0.082189865,0.0,0.0,0.0,0.0,0.0,1.0300237,0.0,0.020550132,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.07016848,0.0,0.0,0.0,-0.016124211,0.045623716,-0.058383908,0.0,0.0,0.0,0.0,2.9377358,0.0,0.0,0.0,0.26762047,2.2584867
8.739903,1.9756525,0.33849314,1.6468154,0.078624,1.8326344,-0.043163598,-0.25674167,-1.1052641,0.0010837171,0.0,0.0,0.0,0.20707422,0.13287608,0.118927464,0.001714536,0.0,0.141874,2.346642,-0.011131989,0.8729237,0.0,-0.07059163,-0.013263435,-0.03907022,0.0,-0.026829371,0.0,0.0,-0.11536187,0.028155029,0.4424627,-0.15803787,0.1478016,0.053859122,0.0,0.35486057,0.0,0.67687666,0.0,0.0,0.0,0.0,0.0,0.0,0.10140515,-0.112459235,0.02837553,0.014655884,0.044887062,0.2893518,-0.07390476,0.0,-0.0022180812,0.00019412758,0.0,0.0,0.01609881,-0.26042032,0.0,0.0,-0.003524546,0.0,-0.451603,0.0062021217,0.23411295,0.0,0.0072730263,-0.0037478262,0.022083625,0.0,0.0,-0.0010166334,-0.21595077,0.0023030217,0.0,0.0,0.3406967,0.009575974,-0.20552507,0.0,0.017216975,0.012628517,-0.017156512,0.0,0.0,0.0423802,-0.011736332,0.3541513,0.48739502,-0.010193223,-0.022901744,0.15468419,0.086784564,0.10367144,0.049126104,0.068749815,0.0,0.0011539449,0.0,0.15014116,0.0,0.0031335538,0.0,0.5556259,-3.2104216,0.0,0.0,0.0,0.0,0.16203825,0.0,-0.013580039,-0.00488245,4.6236444,0.0,-0.20911635,0.015089788,1.2519382,-0.07703231,0.0,0.0,0.0,0.0,0.0,0.84987104,0.0,0.016967252,0.0,0.0,0.0,0.0,0.0011741903,-0.0028821605,-0.01145905,0.0,0.07016848,0.0,0.0,0.0,-0.016124211,0.035892572,-0.026819274,0.0,0.0,0.0,0.0,1.9847739,0.0,0.0,0.0,0.19727612,2.0064852
-0.93445253,-2.17377,0.10057547,1.2203101,-0.624752,-1.0894978,-0.08164132,-0.092138864,-2.0082119,-0.026574157,0.0,0.0,0.0,-0.15530215,0.06136163,-0.26026627,-0.023583971,0.0,-0.25107428,-11.737041,-0.005603823,-0.7627261,0.0,-0.19750765,-0.018210957,-0.062139064,0.0,-0.8534595,0.0,0.0,-0.42744127,0.0088015115,0.20610331,-0.63760185,0.0020870238,0.038917135,0.0,0.17346442,0.0,0.386477,0.0,0.0,0.0,0.0,0.0,0.0,-0.08730109,-0.5144329,-0.14796989,-0.038208023,-0.084182605,-0.0951558,0.06160157,0.0,-0.008189058,8.627892e-05,0.0,0.0,-0.0009786526,-0.85054564,0.0,0.0,-0.009392556,0.0,-0.99421346,0.0054442156,-0.038931984,0.0,0.0021916176,-0.0029614307,0.014434142,0.0,0.0,-0.0010166334,0.011665188,0.04003526,0.0,0.0,0.074802816,0.021677954,-0.20169948,0.0,-0.4161836,-0.23935471,-0.046903793,0.0,0.0,0.015238716,-0.0019616508,-1.7096643,-4.627254,-0.017624566,-0.032059107,-0.013501933,0.055127442,-0.037156094,0.016688041,0.053366702,0.0,-0.012706185,0.0,0.052368782,0.0,-0.06385375,0.0,0.2863541,0.6341006,0.0,0.0,0.0,0.0,0.122243494,0.0,-0.008488951,-0.011591647,-1.1051189,0.0,-0.8264003,0.0102367755,0.46370748,-0.328132,0.0,0.0,0.0,0.0,0.0,-3.5470898,0.0,-0.14732945,0.0,0.0,0.0,0.0,0.01086965,-0.0040691164,-0.047381654,0.0,0.028091617,0.0,0.0,0.0,-0.016124211,0.016098838,-0.12799351,0.0,0.0,0.0,0.0,-0.63904196,0.0,0.0,0.0,-0.1790162,-0.6682283
3.531603,1.4502463,0.28102508,1.2054198,-0.3765098,0.84255075,-0.063392505,0.33902195,-0.22463565,-0.005467831,0.0,0.0,0.0,-0.06513102,0.058237527,-0.15058745,0.025220968,0.0,-0.14988574,-10.191063,-0.0056888415,-0.41754007,0.0,-0.17799512,-0.018210957,-0.01819876,0.0,-0.44943672,0.0,0.0,-0.41538823,0.0088015115,0.29733685,-0.4759917,0.002901255,0.038917135,0.0,0.24211699,0.0,0.32628977,0.0,0.0,0.0,0.0,0.0,0.0,-0.026172735,-0.2520212,-0.0370778,0.026223097,-0.02993178,-0.031375688,0.0698272,0.0,-0.005028714,8.627892e-05,0.0,0.0,-0.0009786526,-0.802553,0.0,0.0,-0.009392556,0.0,-0.62119555,0.013001217,-0.036799088,0.0,0.001657793,-0.0029614307,0.018096555,0.0,0.0,-0.0010166332,0.011665188,0.030601261,0.0,0.0,0.0674047,0.020472085,-0.18314083,0.0,-0.35106108,-0.04059901,-0.034327116,0.0,0.0,0.015238716,-0.0018029723,-1.7045244,-2.4491327,-0.019011283,-0.032059107,0.08180722,0.062690325,0.022027487,0.013794303,0.06183116,0.0,-0.00185713,0.0,0.081356704,0.0,-0.021900788,0.0,0.26624957,0.55612224,0.0,0.0,0.0,0.0,0.1754462,0.0,-0.0074077747,-0.0052337404,-0.89896923,0.0,-0.52102196,0.012787523,0.5142716,-0.14851382,0.0,0.0,0.0,0.0,0.0,-2.4036255,0.0,-0.0813764,0.0,0.0,0.0,0.0,0.005519691,-0.0025829459,-0.027769815,0.0,0.028091617,0.0,0.0,0.0,-0.016124211,0.029454708,-0.10149111,0.0,0.0,0.0,0.0,-0.09345994,0.0,0.0,0.0,-0.079612084,-0.6020985
2.469125,-0.2385096,-0.5964604,1.4758805,-0.16355538,-0.4810536,-0.04681414,0.21628685,0.17795354,0.010474291,0.0,0.0,0.0,-0.22293732,-0.89765817,0.006559084,-0.23764747,0.0,0.10045517,1.4229596,0.0422858,-0.2905629,0.0,-0.19143061,-0.012582529,-0.04403172,0.0,-0.8482552,0.0,0.0,-0.3136732,-0.009424806,0.17629091,-0.21034509,0.005414438,0.064230196,0.0,0.31438565,0.0,0.37463778,0.0,0.0,0.0,0.0,0.0,0.0,0.069057874,0.120684706,-0.010605473,0.14962828,-0.031942166,-0.057948582,0.04375241,0.0,0.015499566,0.0012035909,0.0,0.0,0.0146394735,-0.38082933,0.0,0.0,-0.009392556,0.0,-0.34617013,-0.03643011,-0.053258523,0.0,0.004166753,0.018166758,-0.06865382,0.0,0.0,0.0038949768,0.0074636936,-0.0030004315,0.0,0.0,-0.9155927,0.018606957,-0.57841986,0.0,0.010652564,0.011044565,-0.00743787,0.0,0.0,0.014816776,0.01658488,-1.190269,-2.37623,-0.035276152,-0.039822735,0.08568322,-0.09119891,0.04278562,0.029062059,0.06030084,0.0,-0.00185713,0.0,-0.46808875,0.0,-0.013591807,0.0,-1.0147977,-4.2270346,0.0,0.0,0.0,0.0,0.13826635,0.0,0.03714562,0.016575439,-1.1665907,0.0,0.6249891,0.013097417,-2.2707908,0.07844482,0.0,0.0,0.0,0.0,0.0,0.5126026,0.0,-0.037583858,0.0,0.0,0.0,0.0,-0.0063867215,0.014206203,-0.011574931,0.0,0.07016848,0.0,0.0,0.0,-0.016124211,-0.14869954,0.047747146,0.0,0.0,0.0,0.0,0.021692187,0.0,0.0,0.0,-0.15424085,-0.41932413
